"date","type","AI1","momentum","QQQ3","Nasdaq100Fut","8:38","9:00","sq9:00","9:26","9:30","9:35","9:45","10:00","10:45","11:30","13:30","16:00","成行","target","基準","基準momemtum","Memo","Max,Min","PER100値"
"2021-04-14","4","","","2.1","0.3","0.7","0.6","","0.5","0.5","-0.9","-0.2","-0.5","-1.6","-2.7","-2.9","-4.0","↘︎-3.2↘︎-1.4","0.5","高い","1@328.88","⇨-4.0(9:30に0.5%)","0.7,-4.1","225.26"
"2021-04-15","3","","","1.1","1.0","1.4","1.7","","1.5","1.7","1.8","2.4","3.0","0.3","0.0","-0.1","1.0","↗︎0.8↗︎0.7","2.7","中立","-1@332.07","⇨0.0(9:40に2.7%)","2.8,-0.5閑散","225.26"
"2021-04-16","1","","","1.7","0.3","0.3","-0.3","","-0.1","-0.7","-1.0","-1.4","-1.7","-0.9","-1.1","-0.4","-0.7","↘︎-1.3↘︎-0.3","-1.6","中立","0@329.75","⇨0.1(9:40に-1.3%)","0.4,-1.6通常","225.26"
"2021-04-19","3","","","-1.0","-0.4","-0.7","-1.5","","-0.7","-0.9","-0.2","-0.8","-0.5","-1.3","-2.0","-2.1","-1.7","↘︎-0.9↘︎-0.6","2.2","中立","0@324.14","⇨-2.3(9:45に2.2%)","2.4,-2.9閑散","225.26"
"2021-04-20","6","","","-1.3","-0.3","0.5","0.3","","0.1","0.5","-0.8","1.1","1.3","-0.0","-1.9","-2.3","-0.8","↘︎-2.6↘︎-0.8","0.7","安め","-1@321.49","⇨-2.3(10:35に0.7%)","1.0,-2.5閑散","225.26"
"2021-04-21","1","","","0.0","-0.4","-1.1","-0.9","","-1.5","-1.5","-2.2","-1.3","-0.2","-0.3","-0.5","-0.2","0.3","↗︎2.6↗︎1.3","-2.5","安い","-2@322.45","⇨0.3(9:40に-2.5%)","0.4,-2.6閑散","225.26"
"2021-04-22","6","","","0.9","-0.1","0.0","0.0","","0.2","0.7","1.9","0.3","0.1","4.2","3.3","3.1","1.7","↗︎0.3↘︎-1.1","4.7","安め","1@328.02","⇨2.5(10:40に4.7%)","4.7,0.0閑散","225.26"
"2021-04-23","4","","","-3.4","0.1","1.2","-0.7","","0.8","1.2","1.9","0.7","1.0","0.3","1.2","2.4","2.6","↗︎3.0↗︎1.1","1.9","中立","2@336.57","⇨0.7(9:40に2.1%)","3.1,0.0閑散","225.26"
"2021-04-26","4","","","-0.9","-0.2","-0.4","0.0","","-0.3","0.2","0.3","1.2","0.9","-1.1","-0.5","-0.9","-0.5","↗︎2.2↗︎0.8","-2.2","高め","3@336.11","⇨-0.3(9:55に-2.2%)","0.3,-2.3通常","225.26"
"2021-04-27","4","","","1.3","0.2","0.1","0.2","","0.0","0.1","1.4","-0.6","-0.5","-1.0","-0.8","0.0","-0.9","↘︎-1.8↘︎-0.6","-1.4","高め","0@333.19","⇨0.1(10:20に-1.4%)","1.6,-1.6閑散","225.26"
"2021-04-28","1","","","-0.5","-0.2","-0.4","-0.4","","-0.6","-1.1","-2.1","0.4","1.6","-0.5","-0.7","-0.2","-0.7","↘︎-0.5↘︎-0.3","-2.1","中立","-1@330.95","⇨0.1(9:35に-2.1%)","0.4,-2.2閑散","225.26"
"2021-04-29","4","","","2.4","1.1","0.5","0.6","","0.1","-0.2","-0.2","-1.5","-0.6","-3.1","-2.9","-3.4","-3.1","↘︎-2.8↘︎-0.6","-3.1","中立","0@320.81","⇨-2.1(11:15に-2.1%)","0.4,-3.7通常","225.26"
"2021-04-30","2","","","-1.3","-0.8","-1.3","-1.1","","-0.9","-1.1","-0.8","-1.4","-1.3","0.9","0.4","0.7","-0.5","↗︎1.5↗︎0.2","1.4","安い","-1@319.28","⇨0.0(10:30に1.4%)","1.6,-1.2通常","225.26"
"2021-05-03","1","","","0.1","0.4","0.1","1.0","","0.2","0.1","0.0","0.1","-0.2","-0.4","-2.2","-2.3","-1.8","↘︎-2.5↘︎-0.8","-1.5","安い","-2@313.92","⇨0.1(9:55に-1.5%)","0.5,-2.5閑散","225.26"
"2021-05-04","5","","","-1.9","-0.9","-1.2","-1.3","","-1.3","-1.3","-2.0","-2.9","-3.9","-1.9","-3.8","-3.8","-2.9","↘︎-5.3↘︎-1.2","-4.6","安い","-3@304.85","⇨-3.5(11:45に-4.6%)","-0.8,-4.8活況","225.26"
"2021-05-05","4","","","4.3","0.6","0.4","1.5","","0.7","0.5","1.4","0.8","0.0","0.9","-0.1","-0.9","-2.4","↗︎0.1↘︎-0.8","1.4","安い","-4@297.59","⇨-2.4(9:35に1.4%)","2.0,-3.4閑散","225.26"
"2021-05-06","1","","","-4.4","-0.1","-0.5","3.1","","-0.5","-1.3","-2.4","2.1","-0.8","-2.2","-2.0","-2.1","-1.5","↗︎2.0↗︎1.0","-3.7","安い","-5@293.05","⇨-1.2(10:20に-3.7%)","-0.8,-4.0活況","225.26"
"2021-05-07","2","","","5.1","1.3","1.5","1.8","","1.3","1.3","1.9","1.6","1.7","3.6","3.0","0.5","0.8","↗︎0.1↘︎-0.4","3.6","安い","-6@295.24","⇨0.7(10:20に3.7%)","3.9,-0.1通常","225.26"
"2021-05-10","5","","","-2.8","-0.3","-0.1","-0.6","","-0.5","-0.6","-0.6","-2.5","-2.6","-2.0","-2.7","-1.8","-2.3","↘︎-3.8↘︎-2.2","-0.3","安い","-7@288.49","⇨-2.7(9:55に-2.8%)","-0.4,-3.1閑散","225.26"
"2021-05-11","1","","","-8.7","-5.3","-2.0","-3.6","","-5.0","-5.0","-3.0","-1.1","-0.4","-0.9","1.6","4.0","4.1","↗︎4.9↗︎5.0","-4.4","安い","-8@304.85","⇨4.5(14:30に4.5%)","4.6,-5.3通常","225.26"
"2021-05-12","4","","","-3.2","-1.2","-2.3","-2.3","","-2.7","-2.8","-1.9","-1.6","-1.6","-4.3","-4.7","-3.9","-3.5","↘︎-2.2↘︎-1.3","0.0","高め","1@289.70","⇨-4.7(9:30に0.0%。周りはベアなのに)","-1.3,-5.9閑散","225.26"
"2021-05-13","4","","","1.4","0.8","1.1","1.3","","1.2","1.2","2.1","0.8","1.5","0.8","-0.8","-4.2","0.2","↘︎-0.6↗︎0.5","2.2","安め","-1@290.16","⇨-4.2(10:05に2.2%)","2.3,-4.8閑散","225.26"
"2021-05-14","1","","","2.3","0.9","1.0","1.8","","1.3","1.2","2.1","0.7","1.8","5.7","6.1","5.4","6.1","↗︎2.7↗︎1.3","1.2","安め","0@307.89","⇨6.0(10:40に6.1%)","6.5,0.7閑散","225.26"
"2021-05-17","1","","","-0.4","-0.6","-0.6","-0.9","","-1.2","-0.5","-0.9","-0.6","-1.4","-1.1","1.0","0.3","0.3","↘︎-1.6↘︎-0.2","-1.0","安い","-1@308.93","⇨0.3(鋸状で機会なし)","1.3,-1.9閑散","225.26"
"2021-05-18","6","","","1.7","0.5","0.8","0.4","","0.4","0.3","0.1","0.1","0.4","3.8","3.3","2.4","1.3","↘︎-0.2↘︎-0.6","-0.6","安め","1@312.86","⇨4.0(10:40に4.0%)","4.3,-1.3通常","225.26"
