"date","type","Nasdaq100Fut","8:30","sq9:00","zm9:00","16:00","成行","target","基準","基準momemtum","Memo","PER100値"
"2021-08-09","4","0.0","-0.4","-0.6","0.4","0.0","↗︎0.1↗︎0.2","-1.3","安め","-2@383.34","⇨0.1(10:00に0.1%)","289.81"
"2021-08-10","3","0.1","0.2","0.3","0.3","-2.8","↘︎-2.3↘︎-0.7","0.3","安め","0@372.55","⇨2.3(9:50に2.3%)","289.81"
"2021-08-11","5","0.4","0.6","1.3","1.0","-3.8","↘︎-2.2↘︎-0.6","-5.1","安い","-1@358.56","⇨-3.4(11:55に-5.1%)","289.81"
"2021-08-12","1","-0.2","-0.1","-0.2","-0.1","1.2","↗︎1.3↗︎0.6","-0.7","安い","-2@362.86","⇨1.4(9:45に-0.7%)","289.81"
"2021-08-13","5","0.0","0.2","0.5","0.2","-2.1","↗︎0.4↗︎0.3","-1.5","安い","-3@355.24","⇨0.1(10:20に0.1%)","289.81"
"2021-08-16","5","-0.3","-0.3","-0.7","-0.1","-1.9","↘︎-1.9↗︎0.2","-3.3","安い","-4@348.41","⇨-1.4(10:20に-3.3%)","289.81"
"2021-08-17","1","2.2","-0.8","-1.7","-1.9","-0.8","↘︎-0.5↘︎-1.5","-1.8","安い","-5@345.54","⇨0.0(9:35に-1.8%)","289.81"
"2021-08-18","4","-0.1","-0.3","0.1","0.0","-1.3","→0.0↘︎-0.7","-1.6","安い","-6@340.93","⇨-0.2(10:05に-1.6%)","289.81"
"2021-08-19","1","-0.6","-0.8","-1.2","-1.7","-2.5","↗︎3.3↗︎1.4","-2.7","安い","-7@332.38","⇨-1.3(11:10に-2.7%)","289.81"
"2021-08-20","2","0.2","0.2","-0.1","0.2","1.4","↗︎2.0↗︎0.9","0.5","安い","-8@336.86","⇨3.5(10:50に3.5%)","289.81"
"2021-08-23","6","0.2","0.3","1.4","0.5","1.3","↗︎3.1↗︎1.4","0.2","安い","-9@341.3","⇨1.6(13:05に1.6%)","289.81"
"2021-08-24","4","0.1","0.7","0.2","07","-0.3","↗︎0.3↗︎0.2","-0.9","安め","1@340.25","⇨-0.4(14:00に-0.9%)","289.81"
"2021-08-25","4","0.1","0.1","-0.3","0.1","-0.7","↘︎-0.2→0.0","-0.9","安い","-1@337.74","⇨-0.2(12:15に-0.9%)","289.81"
"2021-08-26","3","-0.2","3.6","-0.5","3.3","0.9","↘︎-0.2↘︎-0.2","3.3","安い","-2@340.63","⇨5.4(9:40に4.9%)","289.81"
"2021-08-27","4","0.3","1.3","0.3","1.4","0.1","↗︎0.8↗︎0.8","-0.8","安い","-3@340.81","⇨0.1(13:00に-0.8%)","289.81"
"2021-08-30","6","0.1","0.3","1.0","0.7","2.0","↗︎2.5↗︎1.1","0.0","安い","-4@347.5","⇨1.9(9:50に0.0%)","289.81"
"2021-08-31","5","-0.1","-13.8","0.3","-14.5","-16.7","↘︎-0.1↗︎0.1","-16.7","安め","1@289.5","⇨-15.0(10:35に-15.0%)","331.00"
"2021-09-01","2","0.4","0.9","0.6","1.1","0.5","↗︎1.0→0.0","1.0","安い","-1@290.86","⇨3.1(10:15に3.1%)","331.00"
"2021-09-02","6","0.3","0.9","1.0","1.1","1.5","↘︎-0.2↘︎-0.4","-0.1","安め","1@295.09","⇨1.8(13:45に1.8%)","331.00"
"2021-09-03","6","0.1","0.3","0.4","0.1","1.1","↗︎0.8↗︎0.3","-0.5","中立","2@298.29","⇨2.2(12:30に2.2%)","331.00"
"2021-09-07","1","0.0","0.5","0.4","0.2","0.6","↘︎-0.1↗︎0.2","-1.0","中立","0@299.96","⇨0.7(9:35に-1.0)","331.00"
"2021-09-08","5","-0.1","-0.4","-0.3","-0.5","-2.1","↘︎-1.5↘︎-0.4","-2.4","高め","1@293.60","⇨-1.5(11:35に-2.4%)","331.00"
"2021-09-09","1","0.0","-0.2","0.4","-0.2","0.8","↗︎0.2↘︎-0.2","-0.5","安め","-1@295.86","⇨1.1(14:50に1.1%)","331.00"
"2021-09-10","6","0.4","0.3","1.3","0.3","1.9","↘︎-1.5↘︎-1.1","0.5","中立","1@301.5","⇨3.4(9:30に0.4%)","331.00"
"2021-09-13","5","0.6","0.4","0.4","0.4","-3.7","↘︎-3.0↘︎-0.7","-2.9","高め","2@290.24","⇨-1.8(13:10に-1.8%)","331.00"
"2021-09-14","4","0.4","0.3","0.6","0.3","-3.0","↘︎-0.7↘︎-0.8","-3.1","安め","-1@281.44","⇨-3.0(15:50に-3.1%)","331.00"
"2021-09-15","4","0.2","0.5","0.7","0.5","-0.8","↘︎-0.9↗︎0.6","-1.3","安い","-2@279.12","⇨0.4(9:45に-1.3%)","331.00"
"2021-09-16","1","-0.3","-0.4","-0.4","-0.2","-0.3","↘︎-1.0↗︎0.4","-1.8","安い","-3@278.22","⇨0.0(10:20に-1.8%)","331.00"
"2021-09-17","6","0.0","0.4","0.1","0.6","3.4","↘︎-3.5↗︎0.1","0.3","安い","-4@287.68","⇨3.3(9:35に0.3%)","331.00"
"2021-09-20","1","-1.7","-3.3","-3.8","-3.4","-2.4","↘︎-1.1↘︎-0.9","-3.7","中立","1@280.67","⇨-1.9(12:25に-3.7%)","331.00"
"2021-09-21","1","0.7","0.7","0.7","0.4","-0.9","↘︎-0.3↘︎-0.2","-1.9","安め","-1@278.24","⇨-0.2(10:55に-1.9%)","331.00"
"2021-09-22","1","0.4","0.0","0.7","0.2","-0.1","↗︎1.2↗︎0.7","-0.8","安め","0@277.95","⇨0.3(10:10に-0.8%)","331.00"
"2021-09-23","4","0.5","0.4","0.7","0.4","-0.6","↗︎1.1↗︎0.5","-0.6","安い","-1@276.19","⇨0.1(11:50に-0.6%)","331.00"
"2021-09-24","1","-0.8","-0.9","-1.9","-0.9","-1.4","↗︎0.6↗︎0.9","-3.1","安い","-2@272.36","⇨-1.0(10:20に-3.1%)","331.00"
"2021-09-27","1","-0.9","-1.3","-1.1","-0.9","0.2","↘︎-0.7↗︎0.2","-2.2","安い","-3@272.88","⇨1.0(9:45に-2.2%)","331.00"
